////0507 modfiidcaiton by gilad, checkedin 
1	Can you remind Allen to take the chicken out of the freezer?
1	Remind daddy to wake up in the morning if it's been crying the second.
1	Remind Justin to fix this bar tonight.
1	Remind mom leave her keys.
1	Remind Robert to tidy up the bedroom at 12 o'clock AM 12:00:00PM never mind.
1	Remind bob to take the beer downstairs.
1	Remind Matthew to get ready for bed at 7:45.
1	Remind Chris to read his messages.
1	Remind Dorothy to call Kim after dinner.
1	Remind stacey to pick up the dog poop once a week.
1	Set a reminder for 10 AM tomorrow for Cindy to set a dermatologist appointment.
1	Set a reminder for 6 PM today for Anna to color.
1	Remind Noah to start studying tomorrow at 9 AM.
1	Set a reminder for 45 minutes for Eli to get off the computer.
1	Remind my wife in 5 minutes to take your clothes off.
1	Please remind aestrid to take her medicine tomorrow at 6 PM.
1	Remind Michael to take his medication everyday at 7 AM and 5 PM.
1	Remind Lauren about her final exam at 10:30.
1	Remind Adrian to take his pills every 8 hours.
1	Remind friend to get prayer every thursday night.
1	Remind Harry to take his medicines at 8 PM tonight.
////0511 bucket 1 and bucket 2 i tell gilad, checkedin
1	Tomorrow morning remind me to take out the trash.
1	Tomorrow when I get to work remind me to order backup battery for next Gen.
1	Tomorrow at 7:20 AM remind me to leave the house.
1	Tomorrow at 1 PM remind me to call it at the front office.
1	Tomorrow morning at 9 o'clock remind me to meet Lori.
1	Tomorrow morning remind me to call Linda.
1	Tomorrow morning at 6:15 AM can you remind me to get my laptop in my salad out of the refrigerator.
1	Tomorrow at 6 PM remind me to craft an epic shotgun an epic pistol.
1	In 30 minutes remind me to check the washing machine.
1	In 2 minutes can you remind me that my wife loves me.
1	In 20 minutes remind me to check the sauce.
1	In 25 minutes remind me to add wine to the chili.
1	In 27 minutes remind me to get the clothes out.
//// 0511 potential judge error
// all next week should be start time
1	Reind me to get dog food every morning at 10 o'clock all next week.
// should be 11 instead of 11 o'clock
1	Set up a reminder to meet with Mike tomorrow at 11 o'clock in Detroit.
// judge should tag text , start time and start date according to out result
1	Remind me to write a check for Calvin on Sunday morning at 8:30.
// next year should be start date
1	Next year remind me that I need to poop.
// every day should be start date
1	Remind me to clean house everyday at 4.
// every thursday should be start date
1	Remind me cat has class every Thursday 4 PM.
// Pete should be contact name target. also, judge should have reminder_text 
1	Remind Pete to clean house tomorrow.
// astricta is not a perosn' name in english
1	Can you please remind astricta take her medicine at 6 PM tomorrow?
// tuesday and thursday should be combined
1	Remind me every Tuesday and Thursday at 8:45 AM.
